,Date,Away,Away_Goals,Home,Home_Goals,MOV,Away_B2B,Home_B2B,Away_ELO,Home_ELO,Away_Win_Prob,Home_Win_Prob,Away_Decimal_Odds,Home_Decimal_Odds
"31,6",2021-10-28,Minnesota Wild,0,Seattle Kraken,0,0,0,0,1541.9981702556054,1500.0,0.5271475501246963,0.4728524498753037,1.8970020817956015,2.114824614451529
"31,7",2021-10-28,Winnipeg Jets,0,Los Angeles Kings,0,0,0,0,1500.0379988005302,1452.730493774311,0.5346633272916388,0.4653366727083612,1.8703358711089184,2.14898171291719
"31,8",2021-10-28,Montréal Canadiens,0,San Jose Sharks,0,0,0,0,1524.338485276843,1449.8109709182972,0.5726384013259689,0.4273615986740311,1.7463027238209259,2.339938831899464
"32,0",2021-10-29,Florida Panthers,0,Detroit Red Wings,0,0,0,0,1545.9482247731423,1452.5229031169015,0.5983003496643636,0.40169965033563637,1.6714013297183983,2.489422132094114
"32,1",2021-10-29,Columbus Blue Jackets,0,New York Rangers,0,0,0,0,1442.0952561020642,1498.72892578367,0.38621186235548455,0.6137881376445155,2.5892524219765183,1.6292266641672455
"32,2",2021-10-29,Arizona Coyotes,0,Washington Capitals,0,0,1,0,1470.147049144132,1536.1204106113955,0.273181600447008,0.726818399552992,3.6605686413861567,1.375859500275475
"32,3",2021-10-29,Chicago Blackhawks,0,Carolina Hurricanes,0,0,0,1,1471.1529819944997,1534.974071024255,0.47617335786699166,0.5238266421330083,2.10007549452048,1.90902852120699
"32,4",2021-10-29,Anaheim Ducks,0,Vegas Golden Knights,0,0,1,0,1442.9768930537132,1559.7569702625942,0.20499541259306917,0.7950045874069308,4.8781579419295245,1.2578543769938528
"32,5",2021-10-29,Ottawa Senators,0,Dallas Stars,0,0,0,0,1486.7316160132636,1473.3941648592456,0.48618471214454295,0.513815287855457,2.05683143673736,1.946224691316139
"33,0",2021-10-30,New York Islanders,0,Nashville Predators,0,0,0,0,1541.52762789748,1525.5450930589127,0.48998450608054855,0.5100154939194514,2.040880859680918,1.960724746448455
"33,1",2021-10-30,Montréal Canadiens,0,Los Angeles Kings,0,0,0,0,1524.338485276843,1452.730493774311,0.5686173734922105,0.43138262650778947,1.758651857326162,2.3181276633586054
"33,2",2021-10-30,Florida Panthers,0,Boston Bruins,0,0,1,0,1545.9482247731423,1536.007565604796,0.38130185613275525,0.6186981438672448,2.622594104687067,1.6162970746111887
"33,3",2021-10-30,Detroit Red Wings,0,Toronto Maple Leafs,0,0,1,0,1452.5229031169015,1521.7383346071497,0.2686881531549138,0.7313118468450862,3.721786719131766,1.3674057166091964
"33,4",2021-10-30,New Jersey Devils,0,Pittsburgh Penguins,0,0,0,0,1448.378720253926,1540.7279677509364,0.3371426247532592,0.6628573752467408,2.966103739424402,1.5086201607514163
"33,5",2021-10-30,Winnipeg Jets,0,San Jose Sharks,0,0,0,0,1500.0379988005302,1449.8109709182972,0.5387831326675516,0.4612168673324484,1.8560343473429328,2.168177425478225
"33,6",2021-10-30,Chicago Blackhawks,0,St. Louis Blues,0,0,1,0,1471.1529819944997,1485.2672940343534,0.34669903872126384,0.6533009612787362,2.884346041709021,1.5306880890587606
"33,7",2021-10-30,Minnesota Wild,0,Colorado Avalanche,0,0,0,0,1541.9981702556054,1562.216140913711,0.4379367995960992,0.5620632004039008,2.2834345068107567,1.7791593530432097
"33,8",2021-10-30,Philadelphia Flyers,0,Calgary Flames,0,0,0,0,1471.1582078374126,1486.0150445429372,0.4456323155858434,0.5543676844141566,2.2440024321067606,1.803856949303922
"33,9",2021-10-30,Edmonton Oilers,0,Vancouver Canucks,0,0,0,0,1524.6453623512457,1467.6595878991968,0.5482815473065834,0.4517184526934166,1.8238804587031423,2.2137683197075515
"34,0",2021-10-31,Arizona Coyotes,0,Carolina Hurricanes,0,0,0,0,1470.147049144132,1534.974071024255,0.3747742134604999,0.6252257865395001,2.6682732271423926,1.5994221951957552
"34,1",2021-10-31,Montréal Canadiens,0,Anaheim Ducks,0,0,1,0,1524.338485276843,1442.9768930537132,0.4819943268481144,0.5180056731518856,2.0747132161062116,1.93048078781714
"34,2",2021-10-31,Buffalo Sabres,0,Los Angeles Kings,0,0,0,1,1440.654305177491,1452.730493774311,0.5496279628875239,0.4503720371124761,1.8194125254224744,2.2203865195792774
"34,3",2021-10-31,Columbus Blue Jackets,0,New Jersey Devils,0,0,0,1,1442.0952561020642,1448.378720253926,0.5579583539439963,0.4420416460560037,1.792248458924181,2.262230287399904
"34,4",2021-10-31,New York Rangers,0,Seattle Kraken,0,0,0,0,1498.72892578367,1500.0,0.4651707853217347,0.5348292146782653,2.149748074373053,1.869755751098162
"35,0",2021-11-01,Washington Capitals,0,Tampa Bay Lightning,0,0,0,0,1536.1204106113955,1563.1276521234515,0.42821154927016813,0.5717884507298319,2.3352943228746916,1.7488985633123546
"35,1",2021-11-01,Ottawa Senators,0,Chicago Blackhawks,0,0,0,0,1486.7316160132636,1471.1529819944997,0.48940444362879953,0.5105955563712005,2.0432997963509987,1.9584972636796802
"35,2",2021-11-01,Seattle Kraken,0,Edmonton Oilers,0,0,1,0,1500.0,1524.6453623512457,0.3315918413236625,0.6684081586763375,3.015755743591752,1.496091851991036
"36,0",2021-11-02,Vegas Golden Knights,0,Toronto Maple Leafs,0,0,0,0,1559.7569702625942,1521.7383346071497,0.5214958744539043,0.47850412554609567,1.9175607113808362,2.089846140529602
"36,1",2021-11-02,Detroit Red Wings,0,Montréal Canadiens,0,0,0,0,1452.5229031169015,1524.338485276843,0.3650962538989243,0.6349037461010757,2.7390037266086185,1.5750418959424466
"36,2",2021-11-02,Arizona Coyotes,0,Philadelphia Flyers,0,0,0,0,1470.147049144132,1471.1582078374126,0.46554482977486655,0.5344551702251334,2.1480208479247667,1.8710643206590383
"36,3",2021-11-02,Ottawa Senators,0,Minnesota Wild,0,0,1,0,1486.7316160132636,1541.9981702556054,0.28812914503030096,0.711870854969699,3.470665905369745,1.404749180302606
"36,4",2021-11-02,Dallas Stars,0,Winnipeg Jets,0,0,0,0,1473.3941648592456,1500.0379988005302,0.4287314293809671,0.5712685706190329,2.3324625429114705,1.7504901397190273
