Date,Away,Away_Goals,Home,Home_Goals,MOV,Away_B2B,Home_B2B,Away_ELO,Home_ELO
2021-02-02,Anaheim Ducks,3,Los Angeles Kings,1,2,0,0,1477.8635469368865,1478.5188216235804
2021-02-02,Vancouver Canucks,3,Montreal Canadiens,5,2,1,1,1493.436421312351,1529.4616175256472
2021-02-02,Arizona Coyotes,3,St. Louis Blues,4,1,0,0,1478.5694183429516,1528.70034812943
2021-02-02,Calgary Flames,2,Winnipeg Jets,3,1,1,1,1495.3176064610313,1513.121224841808
2021-02-03,Boston Bruins,4,Philadelphia Flyers,3,1,0,0,1533.1261696432518,1519.2605090569155
2021-02-03,Detroit Red Wings,1,Tampa Bay Lightning,5,4,0,0,1448.4640461444312,1526.9465645000041
2021-02-04,Dallas Stars,3,Columbus Blue Jackets,4,1,0,0,1512.5159230803838,1489.7174673908628
2021-02-04,Carolina Hurricanes,4,Chicago Blackhawks,6,2,0,0,1530.1428363270372,1473.3318233508176
2021-02-04,Nashville Predators,6,Florida Panthers,5,1,0,0,1500.1629741697197,1518.7183650367435
2021-02-04,Ottawa Senators,3,Montreal Canadiens,2,1,0,0,1448.9540988244144,1518.8830485095496
2021-02-04,Washington Capitals,2,New York Rangers,4,2,0,0,1504.3909605996337,1487.140484338588
2021-02-04,Arizona Coyotes,4,St. Louis Blues,3,1,0,0,1488.2437812465973,1519.0259852257843
2021-02-04,Vancouver Canucks,3,Toronto Maple Leafs,7,4,0,0,1486.7772801670678,1535.5198187455978
2021-02-04,Calgary Flames,1,Winnipeg Jets,4,3,0,0,1488.255191485293,1520.1836398175465
2021-02-05,San Jose Sharks,5,Anaheim Ducks,4,1,0,0,1497.6345903566348,1469.6004298732166
2021-02-05,Nashville Predators,1,Florida Panthers,2,1,1,1,1493.1178220815018,1525.7635171249615
2021-02-05,Boston Bruins,2,Philadelphia Flyers,1,1,0,0,1541.3350704007842,1511.0516082993831
2021-02-05,Detroit Red Wings,1,Tampa Bay Lightning,3,2,0,0,1442.769050362051,1532.6415602823843
2021-02-05,Los Angeles Kings,2,Vegas Golden Knights,5,3,0,0,1471.968976250295,1525.2961370045757
2021-02-06,San Jose Sharks,1,Anaheim Ducks,2,1,1,1,1489.5184772220605,1477.716543007791
2021-02-06,Edmonton Oilers,4,Calgary Flames,6,2,0,0,1493.651777356286,1496.030336579538
2021-02-06,Pittsburgh Penguins,3,New York Islanders,4,1,0,0,1492.3362323666122,1487.0865935994323
2021-02-06,Montreal Canadiens,2,Ottawa Senators,1,1,0,0,1525.822271167351,1442.014876166613
2021-02-06,Arizona Coyotes,3,St. Louis Blues,1,2,0,0,1497.4787189139547,1509.791047558427
2021-02-06,Vancouver Canucks,1,Toronto Maple Leafs,5,4,0,0,1480.4203128431839,1541.8767860694818
