,Date,Away,Away_Goals,Home,Home_Goals,MOV,Away_B2B,Home_B2B,Away_ELO,Home_ELO,Away_Win_Prob,Home_Win_Prob
"27,2",2021-10-24,Detroit Red Wings,0,Chicago Blackhawks,0,0,1,0,1452.5229031169015,1471.1529819944997,0.34021482805124736,0.6597851719487526
"27,3",2021-10-24,New York Islanders,0,Vegas Golden Knights,0,0,1,0,1541.52762789748,1559.7569702625942,0.3407899145090574,0.6592100854909426
"28,0",2021-10-25,Tampa Bay Lightning,0,Buffalo Sabres,0,0,0,0,1563.1276521234515,1440.654305177491,0.6362983371551955,0.36370166284480454
"28,1",2021-10-25,Washington Capitals,0,Ottawa Senators,0,0,0,0,1536.1204106113955,1486.7316160132636,0.5376012746129821,0.4623987253870179
"28,2",2021-10-25,Arizona Coyotes,0,Florida Panthers,0,0,0,0,1470.147049144132,1545.9482247731423,0.35961183465948754,0.6403881653405125
"28,3",2021-10-25,Calgary Flames,0,New York Rangers,0,0,0,0,1486.0150445429372,1498.72892578367,0.4487114166986891,0.5512885833013109
"28,4",2021-10-25,Toronto Maple Leafs,0,Carolina Hurricanes,0,0,0,0,1521.7383346071497,1534.974071024255,0.44796145326482184,0.5520385467351782
"28,5",2021-10-25,Dallas Stars,0,Columbus Blue Jackets,0,0,0,0,1473.3941648592456,1442.0952561020642,0.5119212980877372,0.48807870191226277
"28,6",2021-10-25,Los Angeles Kings,0,St. Louis Blues,0,0,0,0,1452.730493774311,1485.2672940343534,0.4203121852497287,0.5796878147502713
"29,0",2021-10-26,Calgary Flames,0,New Jersey Devils,0,0,1,0,1486.0150445429372,1448.378720253926,0.42095215500165106,0.5790478449983489
"29,1",2021-10-26,Tampa Bay Lightning,0,Pittsburgh Penguins,0,0,1,0,1563.1276521234515,1540.7279677509364,0.3991911478349115,0.6008088521650885
"29,2",2021-10-26,Vegas Golden Knights,0,Colorado Avalanche,0,0,0,0,1559.7569702625942,1562.216140913711,0.46346102804791756,0.5365389719520824
"29,3",2021-10-26,San Jose Sharks,0,Nashville Predators,0,0,0,0,1449.8109709182972,1525.5450930589127,0.35970388486935434,0.6402961151306457
"29,4",2021-10-26,Minnesota Wild,0,Vancouver Canucks,0,0,0,0,1541.9981702556054,1467.6595878991968,0.5723786133158613,0.42762138668413874
"29,5",2021-10-26,Winnipeg Jets,0,Anaheim Ducks,0,0,0,0,1500.0379988005302,1442.9768930537132,0.5483870890957663,0.4516129109042337
"29,6",2021-10-26,Montréal Canadiens,0,Seattle Kraken,0,0,0,0,1524.338485276843,1500.0,0.5019687144538585,0.4980312855461415
"30,0",2021-10-27,Boston Bruins,0,Florida Panthers,0,0,0,0,1536.007565604796,1545.9482247731423,0.45269814386724483,0.5473018561327552
"30,1",2021-10-27,Detroit Red Wings,0,Washington Capitals,0,0,0,0,1452.5229031169015,1536.1204106113955,0.34896268001517994,0.6510373199848201
"30,2",2021-10-27,Toronto Maple Leafs,0,Chicago Blackhawks,0,0,0,0,1521.7383346071497,1471.1529819944997,0.5392880998291696,0.4607119001708304
"30,3",2021-10-27,Vegas Golden Knights,0,Dallas Stars,0,0,1,0,1559.7569702625942,1473.3941648592456,0.488787989914481,0.511212010085519
"30,4",2021-10-27,Philadelphia Flyers,0,Edmonton Oilers,0,0,0,0,1471.1582078374126,1524.6453623512457,0.3906281861301997,0.6093718138698003
"31,0",2021-10-28,Arizona Coyotes,0,Tampa Bay Lightning,0,0,0,0,1470.147049144132,1563.1276521234515,0.3362957180353693,0.6637042819646307
"31,1",2021-10-28,Calgary Flames,0,Pittsburgh Penguins,0,0,0,0,1486.0150445429372,1540.7279677509364,0.3889062539907082,0.6110937460092918
"31,2",2021-10-28,Boston Bruins,0,Carolina Hurricanes,0,0,1,0,1536.007565604796,1534.974071024255,0.36848731387246625,0.6315126861275338
"31,3",2021-10-28,Colorado Avalanche,0,St. Louis Blues,0,0,0,0,1562.216140913711,1485.2672940343534,0.5759624864801611,0.42403751351983887
"31,4",2021-10-28,Philadelphia Flyers,0,Vancouver Canucks,0,0,1,0,1471.1582078374126,1467.6595878991968,0.3720347486462775,0.6279652513537225
"31,5",2021-10-28,Buffalo Sabres,0,Anaheim Ducks,0,0,0,0,1440.654305177491,1442.9768930537132,0.4636575771510335,0.5363424228489665
"31,6",2021-10-28,Minnesota Wild,0,Seattle Kraken,0,0,0,0,1541.9981702556054,1500.0,0.5271475501246963,0.4728524498753037
